"Priority","LegacyID","TargetCertifiedID","Reason","Owner","State"
"25","LEG-025","K-LEGACY-RC-KC01-K1-B01-P25","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"26","LEG-026","K-LEGACY-RC-KC01-K1-B01-P26","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"27","LEG-027","K-LEGACY-RC-KC01-K1-B01-P27","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"28","LEG-028","K-LEGACY-RC-KC01-K1-B01-P28","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"29","LEG-029","K-LEGACY-RC-KC01-K1-B01-P29","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"30","LEG-030","K-LEGACY-RC-KC01-K1-B01-P30","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"31","LEG-031","K-LEGACY-RC-KC01-K1-B01-P31","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"32","LEG-032","K-LEGACY-RC-KC01-K1-B01-P32","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"33","LEG-033","K-LEGACY-RC-KC01-K1-B01-P33","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"34","LEG-034","K-LEGACY-RC-KC01-K1-B01-P34","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"35","LEG-035","K-LEGACY-RC-KC01-K1-B01-P35","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"36","LEG-036","K-LEGACY-RC-KC01-K1-B01-P36","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"37","LEG-037","K-LEGACY-RC-KC01-K1-B01-P37","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"38","LEG-038","K-LEGACY-RC-KC01-K1-B01-P38","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"39","LEG-039","K-LEGACY-RC-KC01-K1-B01-P39","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"40","LEG-040","K-LEGACY-RC-KC01-K1-B01-P40","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"41","LEG-041","K-LEGACY-RC-KC01-K1-B01-P41","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"42","LEG-042","K-LEGACY-RC-KC01-K1-B01-P42","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"43","LEG-043","K-LEGACY-RC-KC01-K1-B01-P43","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"44","LEG-044","K-LEGACY-RC-KC01-K1-B01-P44","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"45","LEG-045","K-LEGACY-RC-KC01-K1-B01-P45","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"46","LEG-046","K-LEGACY-RC-KC01-K1-B01-P46","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"47","LEG-047","K-LEGACY-RC-KC01-K1-B01-P47","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"48","LEG-048","K-LEGACY-RC-KC01-K1-B01-P48","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"49","LEG-049","K-LEGACY-RC-KC01-K1-B01-P49","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"50","LEG-050","K-LEGACY-RC-KC01-K1-B01-P50","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"51","LEG-051","K-LEGACY-RC-KC01-K1-B01-P51","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"52","LEG-052","K-LEGACY-RC-KC01-K1-B01-P52","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"53","LEG-053","K-LEGACY-RC-KC01-K1-B01-P53","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"54","LEG-054","K-LEGACY-RC-KC01-K1-B01-P54","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"55","LEG-055","K-LEGACY-RC-KC01-K1-B01-P55","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"56","LEG-056","K-LEGACY-RC-KC01-K1-B01-P56","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"57","LEG-057","K-LEGACY-RC-KC01-K1-B01-P57","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"58","LEG-058","K-LEGACY-RC-KC01-K1-B01-P58","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"59","LEG-059","K-LEGACY-RC-KC01-K1-B01-P59","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"60","LEG-060","K-LEGACY-RC-KC01-K1-B01-P60","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"61","LEG-061","K-LEGACY-RC-KC01-K1-B01-P61","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"62","LEG-062","K-LEGACY-RC-KC01-K1-B01-P62","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"63","LEG-063","K-LEGACY-RC-KC01-K1-B01-P63","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"64","LEG-064","K-LEGACY-RC-KC01-K1-B01-P64","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"65","LEG-065","K-LEGACY-RC-KC01-K1-B01-P65","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"66","LEG-066","K-LEGACY-RC-KC01-K1-B01-P66","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"67","LEG-067","K-LEGACY-RC-KC01-K1-B01-P67","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"68","LEG-068","K-LEGACY-RC-KC01-K1-B01-P68","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"69","LEG-069","K-LEGACY-RC-KC07-K1-B01-P69","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"70","LEG-070","K-LEGACY-RC-KC07-K1-B01-P70","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"71","LEG-071","K-LEGACY-RC-KC01-K1-B01-P71","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"72","LEG-072","K-LEGACY-RC-KC01-K1-B01-P72","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"73","LEG-073","K-LEGACY-RC-KC01-K1-B01-P73","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"74","LEG-074","K-LEGACY-RC-KC01-K1-B01-P74","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"75","LEG-075","K-LEGACY-RC-KC01-K1-B01-P75","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"76","LEG-076","K-LEGACY-RC-KC01-K1-B01-P76","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"77","LEG-077","K-LEGACY-RC-KC01-K1-B01-P77","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"78","LEG-078","K-LEGACY-RC-KC01-K1-B01-P78","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"79","LEG-079","K-LEGACY-RC-KC01-K1-B01-P79","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"80","LEG-080","K-LEGACY-RC-KC01-K1-B01-P80","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"81","LEG-081","K-LEGACY-RC-KC01-K1-B01-P81","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"82","LEG-082","K-LEGACY-RC-KC01-K1-B01-P82","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"83","LEG-083","K-LEGACY-RC-KC01-K1-B01-P83","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"84","LEG-084","K-LEGACY-RC-KC01-K1-B01-P84","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"85","LEG-085","K-LEGACY-RC-KC01-K1-B01-P85","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"86","LEG-086","K-LEGACY-RC-KC01-K1-B01-P86","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"87","LEG-087","K-LEGACY-RC-KC01-K1-B01-P87","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"88","LEG-088","K-LEGACY-RC-KC01-K1-B01-P88","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"89","LEG-089","K-LEGACY-RC-KC01-K1-B01-P89","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"90","LEG-090","K-LEGACY-RC-KC01-K1-B01-P90","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"91","LEG-091","K-LEGACY-RC-KC07-K1-B01-P91","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"92","LEG-092","K-LEGACY-RC-KC07-K1-B01-P92","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"93","LEG-093","K-LEGACY-RC-KC07-K1-B01-P93","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"94","LEG-094","K-LEGACY-RC-KC07-K1-B01-P94","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"95","LEG-095","K-LEGACY-RC-KC07-K1-B01-P95","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"96","LEG-096","K-LEGACY-RC-KC07-K1-B01-P96","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"97","LEG-097","K-LEGACY-RC-KC07-K1-B01-P97","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"98","LEG-098","K-LEGACY-RC-KC07-K1-B01-P98","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"99","LEG-099","K-LEGACY-RC-KC01-K1-B01-P99","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"100","LEG-100","K-LEGACY-RC-KC01-K1-B01-P100","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"101","LEG-101","K-LEGACY-RC-KC01-K1-B01-P101","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"102","LEG-102","K-LEGACY-RC-KC01-K1-B01-P102","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"103","LEG-103","K-LEGACY-RC-KC01-K1-B01-P103","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"104","LEG-104","K-LEGACY-RC-KC01-K1-B01-P104","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"105","LEG-105","K-LEGACY-RC-KC01-K1-B01-P105","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"106","LEG-106","K-LEGACY-RC-KC01-K1-B01-P106","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"107","LEG-107","K-LEGACY-RC-KC01-K1-B01-P107","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"108","LEG-108","K-LEGACY-RC-KC01-K1-B01-P108","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"109","LEG-109","K-LEGACY-RC-KC01-K1-B01-P109","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"110","LEG-110","K-LEGACY-RC-KC01-K1-B01-P110","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"111","LEG-111","K-LEGACY-RC-KC01-K1-B01-P111","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"112","LEG-112","K-LEGACY-RC-KC01-K1-B01-P112","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"113","LEG-113","K-LEGACY-RC-KC01-K1-B01-P113","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"114","LEG-114","K-LEGACY-RC-KC01-K1-B01-P114","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"115","LEG-115","K-LEGACY-RC-KC01-K1-B01-P115","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"116","LEG-116","K-LEGACY-RC-KC01-K1-B01-P116","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"117","LEG-117","K-LEGACY-RC-KC01-K1-B01-P117","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"118","LEG-118","K-LEGACY-RC-KC01-K1-B01-P118","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"119","LEG-119","K-LEGACY-RC-KC01-K1-B01-P119","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"120","LEG-120","K-LEGACY-RC-KC01-K1-B01-P120","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"121","LEG-121","K-LEGACY-RC-KC01-K1-B01-P121","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"122","LEG-122","K-LEGACY-RC-KC01-K1-B01-P122","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"123","LEG-123","K-LEGACY-RC-KC01-K1-B01-P123","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"124","LEG-124","K-LEGACY-RC-KC01-K1-B01-P124","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"125","LEG-125","K-LEGACY-RC-KC01-K1-B01-P125","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"126","LEG-126","K-LEGACY-RC-KC01-K1-B01-P126","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"127","LEG-127","K-LEGACY-RC-KC01-K1-B01-P127","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"128","LEG-128","K-LEGACY-RC-KC01-K1-B01-P128","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"129","LEG-129","K-LEGACY-RC-KC01-K1-B01-P129","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"130","LEG-130","K-LEGACY-RC-KC01-K1-B01-P130","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"131","LEG-131","K-LEGACY-RC-KC01-K1-B01-P131","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"132","LEG-132","K-LEGACY-RC-KC01-K1-B01-P132","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"133","LEG-133","K-LEGACY-RC-KC01-K1-B01-P133","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"134","LEG-134","K-LEGACY-RC-KC01-K1-B01-P134","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"135","LEG-135","K-LEGACY-RC-KC01-K1-B01-P135","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"136","LEG-136","K-LEGACY-RC-KC01-K1-B01-P136","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"137","LEG-137","K-LEGACY-RC-KC01-K1-B01-P137","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"138","LEG-138","K-LEGACY-RC-KC01-K1-B01-P138","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"139","LEG-139","K-LEGACY-RC-KC01-K1-B01-P139","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"140","LEG-140","K-LEGACY-RC-KC01-K1-B01-P140","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"141","LEG-141","K-LEGACY-RC-KC01-K1-B01-P141","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"142","LEG-142","K-LEGACY-RC-KC01-K1-B01-P142","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"143","LEG-143","K-LEGACY-RC-KC01-K1-B01-P143","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"144","LEG-144","K-LEGACY-RC-KC01-K1-B01-P144","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"145","LEG-145","K-LEGACY-RC-KC01-K1-B01-P145","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"146","LEG-146","K-LEGACY-RC-KC01-K1-B01-P146","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"147","LEG-147","K-LEGACY-RC-KC01-K1-B01-P147","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"148","LEG-148","K-LEGACY-RC-KC01-K1-B01-P148","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"149","LEG-149","K-LEGACY-RC-KC01-K1-B01-P149","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"150","LEG-150","K-LEGACY-RC-KC01-K1-B01-P150","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"151","LEG-151","K-LEGACY-RC-KC01-K1-B01-P151","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"152","LEG-152","K-LEGACY-RC-KC01-K1-B01-P152","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"153","LEG-153","K-LEGACY-RC-KC01-K1-B01-P153","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"154","LEG-154","K-LEGACY-RC-KC01-K1-B01-P154","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"155","LEG-155","K-LEGACY-RC-KC01-K1-B01-P155","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"156","LEG-156","K-LEGACY-RC-KC01-K1-B01-P156","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"157","LEG-157","K-LEGACY-RC-KC01-K1-B01-P157","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"158","LEG-158","K-LEGACY-RC-KC01-K1-B01-P158","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"159","LEG-159","K-LEGACY-RC-KC07-K1-B01-P159","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"160","LEG-160","K-LEGACY-RC-KC07-K1-B01-P160","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"161","LEG-161","K-LEGACY-RC-KC01-K1-B01-P161","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"162","LEG-162","K-LEGACY-RC-KC01-K1-B01-P162","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"163","LEG-163","K-LEGACY-RC-KC01-K1-B01-P163","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"164","LEG-164","K-LEGACY-RC-KC01-K1-B01-P164","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"165","LEG-165","K-LEGACY-RC-KC01-K1-B01-P165","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"166","LEG-166","K-LEGACY-RC-KC01-K1-B01-P166","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"167","LEG-167","K-LEGACY-RC-KC01-K1-B01-P167","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"168","LEG-168","K-LEGACY-RC-KC01-K1-B01-P168","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"169","LEG-169","K-LEGACY-RC-KC01-K1-B01-P169","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"170","LEG-170","K-LEGACY-RC-KC01-K1-B01-P170","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"171","LEG-171","K-LEGACY-RC-KC01-K1-B01-P171","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"172","LEG-172","K-LEGACY-RC-KC01-K1-B01-P172","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"173","LEG-173","K-LEGACY-RC-KC01-K1-B01-P173","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"174","LEG-174","K-LEGACY-RC-KC01-K1-B01-P174","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"175","LEG-175","K-LEGACY-RC-KC01-K1-B01-P175","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"176","LEG-176","K-LEGACY-RC-KC01-K1-B01-P176","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"177","LEG-177","K-LEGACY-RC-KC01-K1-B01-P177","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"178","LEG-178","K-LEGACY-RC-KC07-K1-B01-P178","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"179","LEG-179","K-LEGACY-RC-KC07-K1-B01-P179","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"180","LEG-180","K-LEGACY-RC-KC01-K1-B01-P180","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
