"FilePath","ItemKey","FieldName","CurrentValue","ActionNeeded","ActionStatus"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","ApproverEmail","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","ApproverName","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","DependencyReviewer","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","MappingApproved","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","OwnerEmail","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","OwnerName","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","ProposedTarget","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","QaReviewer","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","RewriteRequired","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","SignoffCheckpoint","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","Approver","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","Approver","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ApproverEmail","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ApproverEmail","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ApproverName","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ApproverName","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","DependencyReviewer","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","DependencyReviewer","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","Item","TBD","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","Item","TBD","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","MappingApproved","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","MappingApproved","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","OwnerEmail","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","OwnerEmail","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","OwnerName","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","OwnerName","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ProposedTarget","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ProposedTarget","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","QaReviewer","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","QaReviewer","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","RewriteRequired","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","RewriteRequired","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","SignoffCheckpoint","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","SignoffCheckpoint","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","Approver","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","ApproverEmail","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","ApproverName","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","DependencyReviewer","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","MappingApproved","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","OwnerEmail","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","OwnerName","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","ProposedTarget","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","QaReviewer","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","RewriteRequired","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","SignoffCheckpoint","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","Approver","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","ApproverEmail","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","ApproverName","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","DependencyReviewer","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","MappingApproved","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","OwnerEmail","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","OwnerName","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","ProposedTarget","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","QaReviewer","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","RewriteRequired","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","SignoffCheckpoint","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","Approver","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","ApproverEmail","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","ApproverName","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","DependencyReviewer","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","MappingApproved","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","OwnerEmail","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","OwnerName","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","ProposedTarget","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","QaReviewer","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","RewriteRequired","","Replace placeholder with concrete approved value","PENDING"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","SignoffCheckpoint","","Replace placeholder with concrete approved value","PENDING"
