"Priority","Area","FilePath","ItemKey","FieldName","CurrentValue","RequiredState","Reason"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","Approver","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","Approver","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ApproverEmail","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ApproverEmail","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ApproverName","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ApproverName","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","DependencyReviewer","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","DependencyReviewer","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","Item","TBD","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","Item","TBD","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","MappingApproved","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","MappingApproved","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","OwnerEmail","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","OwnerEmail","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","OwnerName","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","OwnerName","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ProposedTarget","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ProposedTarget","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","QaReviewer","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","QaReviewer","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","RewriteRequired","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","RewriteRequired","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","SignoffCheckpoint","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","SignoffCheckpoint","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","Approver","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","ApproverEmail","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","ApproverName","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","DependencyReviewer","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","MappingApproved","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","OwnerEmail","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","OwnerName","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","ProposedTarget","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","QaReviewer","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","RewriteRequired","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","SignoffCheckpoint","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","Approver","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","ApproverEmail","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","ApproverName","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","DependencyReviewer","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","MappingApproved","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","OwnerEmail","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","OwnerName","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","ProposedTarget","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","QaReviewer","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","RewriteRequired","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","SignoffCheckpoint","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","Approver","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","ApproverEmail","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","ApproverName","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","DependencyReviewer","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","MappingApproved","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","OwnerEmail","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","OwnerName","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","ProposedTarget","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","QaReviewer","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","RewriteRequired","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","SignoffCheckpoint","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_area_readiness_summary.csv","","ReadinessStatus","PENDING","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_area_readiness_summary.csv","","ReadinessStatus","PENDING","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_area_readiness_summary.csv","","ReadinessStatus","PENDING","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_area_readiness_summary.csv","","ReadinessStatus","PENDING","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_area_readiness_summary.csv","","ReadinessStatus","PENDING","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_area_readiness_summary.csv","","ReadinessStatus","PENDING","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_area_readiness_summary.csv","","SummaryStatus","PENDING","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_area_readiness_summary.csv","","SummaryStatus","PENDING","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_area_readiness_summary.csv","","SummaryStatus","PENDING","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_area_readiness_summary.csv","","SummaryStatus","PENDING","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_area_readiness_summary.csv","","SummaryStatus","PENDING","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_area_readiness_summary.csv","","SummaryStatus","PENDING","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_exact_path_blocker_action_pack.csv","06_ux_qa","BlockerNotes","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_exact_path_blocker_action_pack.csv","06_ux_qa","SourceCandidatePath","TBD","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_exact_path_blocker_action_pack.csv","06_ux_qa","SourceExactPath","TBD","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_exact_path_blocker_action_pack.csv","ApprovalRecord","BlockerNotes","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_exact_path_blocker_action_pack.csv","ApprovalRecord","SourceCandidatePath","TBD","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_exact_path_blocker_action_pack.csv","ApprovalRecord","SourceExactPath","TBD","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_exact_path_blocker_action_pack.csv","GovernancePackNotes","BlockerNotes","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_exact_path_blocker_action_pack.csv","GovernancePackNotes","SourceCandidatePath","TBD","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_exact_path_blocker_action_pack.csv","GovernancePackNotes","SourceExactPath","TBD","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_exact_path_blocker_action_pack.csv","GovernanceReleaseWaveLegacyCrossAge","BlockerNotes","","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_exact_path_blocker_action_pack.csv","GovernanceReleaseWaveLegacyCrossAge","SourceCandidatePath","TBD","Concrete non-placeholder value","Open non-blocked field"
"MEDIUM","apply_gate_rollup_2026-04-13","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_exact_path_blocker_action_pack.csv","GovernanceReleaseWaveLegacyCrossAge","SourceExactPath","TBD","Concrete non-placeholder value","Open non-blocked field"
