"FileName","BaseName","Extension","DirectoryName","FullPath"
"PATCH_FRONTEND_TRACK_C_SEPARATOR_FIX_SAFE_V2.ps1","PATCH_FRONTEND_TRACK_C_SEPARATOR_FIX_SAFE_V2",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_TRACK_C_SEPARATOR_FIX_SAFE_V2.ps1"
"PATCH_FRONTEND_UX_POLISH_TRACK_C.ps1","PATCH_FRONTEND_UX_POLISH_TRACK_C",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_UX_POLISH_TRACK_C.ps1"
"PATCH_FRONTEND_UX_POLISH_TRACK_C_SAFE.ps1","PATCH_FRONTEND_UX_POLISH_TRACK_C_SAFE",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_UX_POLISH_TRACK_C_SAFE.ps1"
"PATCH_FRONTEND_UX_POLISH_TRACK_C_SAFE_V2.ps1","PATCH_FRONTEND_UX_POLISH_TRACK_C_SAFE_V2",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_UX_POLISH_TRACK_C_SAFE_V2.ps1"
"PATCH_PHASE1_FORCE_GOOD_backend_src_puzzles_json.ps1","PATCH_PHASE1_FORCE_GOOD_backend_src_puzzles_json",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_PHASE1_FORCE_GOOD_backend_src_puzzles_json.ps1"
"PATCH_PHASE1_POLICYA_quarantine_puzzlesjson_FULL.ps1","PATCH_PHASE1_POLICYA_quarantine_puzzlesjson_FULL",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_PHASE1_POLICYA_quarantine_puzzlesjson_FULL.ps1"
"PATCH_PHASE1_real_correctness_FULL.ps1","PATCH_PHASE1_real_correctness_FULL",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_PHASE1_real_correctness_FULL.ps1"
"PATCH_PHASE1_REBUILD_backend_src_puzzles_json.ps1","PATCH_PHASE1_REBUILD_backend_src_puzzles_json",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_PHASE1_REBUILD_backend_src_puzzles_json.ps1"
"PATCH_PHASE1_STRICT_fix_puzzles_json_ALL.ps1","PATCH_PHASE1_STRICT_fix_puzzles_json_ALL",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_PHASE1_STRICT_fix_puzzles_json_ALL.ps1"
"PATCH_PHASE1_STRICT_fix_puzzles_json_ALL_BOMLESS.ps1","PATCH_PHASE1_STRICT_fix_puzzles_json_ALL_BOMLESS",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_PHASE1_STRICT_fix_puzzles_json_ALL_BOMLESS.ps1"
"PATCH_PHASE1_STRICT_fix_puzzles_json_ALL_v2.ps1","PATCH_PHASE1_STRICT_fix_puzzles_json_ALL_v2",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_PHASE1_STRICT_fix_puzzles_json_ALL_v2.ps1"
"PATCH_PROGRESS_GET_ADD_FIELDS.ps1","PATCH_PROGRESS_GET_ADD_FIELDS",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_PROGRESS_GET_ADD_FIELDS.ps1"
"PATCH_PROGRESS_GET_ADD_FIELDS_V2.ps1","PATCH_PROGRESS_GET_ADD_FIELDS_V2",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_PROGRESS_GET_ADD_FIELDS_V2.ps1"
"PATCH_PROGRESS_GET_ADD_STREAK.ps1","PATCH_PROGRESS_GET_ADD_STREAK",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_PROGRESS_GET_ADD_STREAK.ps1"
"PATCH_PROGRESS_GET_ADD_STREAK_SAFE_V3.ps1","PATCH_PROGRESS_GET_ADD_STREAK_SAFE_V3",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_PROGRESS_GET_ADD_STREAK_SAFE_V3.ps1"
"PATCH_REMOVE_SolvedIds_PERSISTENCE.ps1","PATCH_REMOVE_SolvedIds_PERSISTENCE",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_REMOVE_SolvedIds_PERSISTENCE.ps1"
"PATCH_STEP10_Daily_Text_Cleanup.ps1","PATCH_STEP10_Daily_Text_Cleanup",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_STEP10_Daily_Text_Cleanup.ps1"
"PATCH_STEP10_Daily_Text_Cleanup_V3.ps1","PATCH_STEP10_Daily_Text_Cleanup_V3",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_STEP10_Daily_Text_Cleanup_V3.ps1"
"PATCH_STEP11_Set_VITE_API_BASE_URL.ps1","PATCH_STEP11_Set_VITE_API_BASE_URL",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_STEP11_Set_VITE_API_BASE_URL.ps1"
"PATCH_STEP7_FrontendFixes.ps1","PATCH_STEP7_FrontendFixes",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_STEP7_FrontendFixes.ps1"
"PATCH_STEP9_Add_Daily_Refresh_Button.ps1","PATCH_STEP9_Add_Daily_Refresh_Button",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_STEP9_Add_Daily_Refresh_Button.ps1"
"PATCH_STEP9_FIX_Daily_RefreshProgress_Button.ps1","PATCH_STEP9_FIX_Daily_RefreshProgress_Button",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PATCH_STEP9_FIX_Daily_RefreshProgress_Button.ps1"
"PHASE2_STEP1_stability_gate_FULL.ps1","PHASE2_STEP1_stability_gate_FULL",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PHASE2_STEP1_stability_gate_FULL.ps1"
"PHASE2_STEP2_frontend_api_unification_FULL.ps1","PHASE2_STEP2_frontend_api_unification_FULL",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PHASE2_STEP2_frontend_api_unification_FULL.ps1"
"PHASE2_STEP2_frontend_api_unification_FULL_v2.ps1","PHASE2_STEP2_frontend_api_unification_FULL_v2",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PHASE2_STEP2_frontend_api_unification_FULL_v2.ps1"
"PHASE2_STEP2_frontend_api_unification_FULL_v3.ps1","PHASE2_STEP2_frontend_api_unification_FULL_v3",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PHASE2_STEP2_frontend_api_unification_FULL_v3.ps1"
"PHASE2_STEP2_frontend_api_unification_FULL_v4.ps1","PHASE2_STEP2_frontend_api_unification_FULL_v4",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PHASE2_STEP2_frontend_api_unification_FULL_v4.ps1"
"PHASE2_STEP2_frontend_api_unification_FULL_v5.ps1","PHASE2_STEP2_frontend_api_unification_FULL_v5",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PHASE2_STEP2_frontend_api_unification_FULL_v5.ps1"
"PHASE2_STEP2_frontend_api_unification_FULL_v6.ps1","PHASE2_STEP2_frontend_api_unification_FULL_v6",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PHASE2_STEP2_frontend_api_unification_FULL_v6.ps1"
"PHASE2_STEP2_frontend_api_unification_V7_SAFE.ps1","PHASE2_STEP2_frontend_api_unification_V7_SAFE",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PHASE2_STEP2_frontend_api_unification_V7_SAFE.ps1"
"PHASE2_STEP3A_fix_api_base_no_hardcode_FULL.ps1","PHASE2_STEP3A_fix_api_base_no_hardcode_FULL",".ps1","C:\Projects\MindLab_Starter_Project","C:\Projects\MindLab_Starter_Project\PHASE2_STEP3A_fix_api_base_no_hardcode_FULL.ps1"
