"QueueOrder","Priority","FilePath","ItemKey","FieldName","CurrentValue","RequiredState","Reason","ActionStatus"
"36","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","OwnerEmail","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"37","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","OwnerName","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"38","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","OwnerName","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"39","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ProposedTarget","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"40","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ProposedTarget","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"41","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","QaReviewer","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"42","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","QaReviewer","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"43","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","RewriteRequired","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"44","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","RewriteRequired","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"45","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","SignoffCheckpoint","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"46","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","SignoffCheckpoint","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"47","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","Approver","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"48","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","ApproverEmail","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"49","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","ApproverName","","Concrete non-placeholder value","Open non-blocked field","PENDING"
"50","MEDIUM","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","DependencyReviewer","","Concrete non-placeholder value","Open non-blocked field","PENDING"
