"FileName","BaseName","FullPath","LowerFileName","LowerBaseName"
"move_legacy_scripts.ps1","move_legacy_scripts","C:\Projects\MindLab_Starter_Project\move_legacy_scripts.ps1","move_legacy_scripts.ps1","move_legacy_scripts"
"package-lock.json","package-lock","C:\Projects\MindLab_Starter_Project\package-lock.json","package-lock.json","package-lock"
"PATCH_01_add_runtime_fingerprint.ps1","PATCH_01_add_runtime_fingerprint","C:\Projects\MindLab_Starter_Project\PATCH_01_add_runtime_fingerprint.ps1","patch_01_add_runtime_fingerprint.ps1","patch_01_add_runtime_fingerprint"
"PATCH_02_restore_health_and_puzzles.ps1","PATCH_02_restore_health_and_puzzles","C:\Projects\MindLab_Starter_Project\PATCH_02_restore_health_and_puzzles.ps1","patch_02_restore_health_and_puzzles.ps1","patch_02_restore_health_and_puzzles"
"PATCH_03_FORCE_add_health_and_puzzles.ps1","PATCH_03_FORCE_add_health_and_puzzles","C:\Projects\MindLab_Starter_Project\PATCH_03_FORCE_add_health_and_puzzles.ps1","patch_03_force_add_health_and_puzzles.ps1","patch_03_force_add_health_and_puzzles"
"PATCH_04_fix_progress_ui_FULL.ps1","PATCH_04_fix_progress_ui_FULL","C:\Projects\MindLab_Starter_Project\PATCH_04_fix_progress_ui_FULL.ps1","patch_04_fix_progress_ui_full.ps1","patch_04_fix_progress_ui_full"
"PATCH_05D_SOLVE_UI_SPACING_OPTION2_FULL.ps1","PATCH_05D_SOLVE_UI_SPACING_OPTION2_FULL","C:\Projects\MindLab_Starter_Project\PATCH_05D_SOLVE_UI_SPACING_OPTION2_FULL.ps1","patch_05d_solve_ui_spacing_option2_full.ps1","patch_05d_solve_ui_spacing_option2_full"
"PATCH_05D_SOLVE_UI_SPACING_OPTION2_SAFE.ps1","PATCH_05D_SOLVE_UI_SPACING_OPTION2_SAFE","C:\Projects\MindLab_Starter_Project\PATCH_05D_SOLVE_UI_SPACING_OPTION2_SAFE.ps1","patch_05d_solve_ui_spacing_option2_safe.ps1","patch_05d_solve_ui_spacing_option2_safe"
"PATCH_05_frontend_daily_unify_api.ps1","PATCH_05_frontend_daily_unify_api","C:\Projects\MindLab_Starter_Project\PATCH_05_frontend_daily_unify_api.ps1","patch_05_frontend_daily_unify_api.ps1","patch_05_frontend_daily_unify_api"
"PATCH_05_UPGRADE_SANITY_PHASE5_FULL.ps1","PATCH_05_UPGRADE_SANITY_PHASE5_FULL","C:\Projects\MindLab_Starter_Project\PATCH_05_UPGRADE_SANITY_PHASE5_FULL.ps1","patch_05_upgrade_sanity_phase5_full.ps1","patch_05_upgrade_sanity_phase5_full"
"PATCH_05_UPGRADE_SANITY_PHASE5_SAFE_APPEND.ps1","PATCH_05_UPGRADE_SANITY_PHASE5_SAFE_APPEND","C:\Projects\MindLab_Starter_Project\PATCH_05_UPGRADE_SANITY_PHASE5_SAFE_APPEND.ps1","patch_05_upgrade_sanity_phase5_safe_append.ps1","patch_05_upgrade_sanity_phase5_safe_append"
"PATCH_06_fix_DailyChallengeDetailPage_build.ps1","PATCH_06_fix_DailyChallengeDetailPage_build","C:\Projects\MindLab_Starter_Project\PATCH_06_fix_DailyChallengeDetailPage_build.ps1","patch_06_fix_dailychallengedetailpage_build.ps1","patch_06_fix_dailychallengedetailpage_build"
"PATCH_08_daily_use_backend_solvedIds.ps1","PATCH_08_daily_use_backend_solvedIds","C:\Projects\MindLab_Starter_Project\PATCH_08_daily_use_backend_solvedIds.ps1","patch_08_daily_use_backend_solvedids.ps1","patch_08_daily_use_backend_solvedids"
"PATCH_09A_fix_puzzle_text_encoding_SAFE.ps1","PATCH_09A_fix_puzzle_text_encoding_SAFE","C:\Projects\MindLab_Starter_Project\PATCH_09A_fix_puzzle_text_encoding_SAFE.ps1","patch_09a_fix_puzzle_text_encoding_safe.ps1","patch_09a_fix_puzzle_text_encoding_safe"
"PATCH_ADD_BACKEND_HEALTH.ps1","PATCH_ADD_BACKEND_HEALTH","C:\Projects\MindLab_Starter_Project\PATCH_ADD_BACKEND_HEALTH.ps1","patch_add_backend_health.ps1","patch_add_backend_health"
"patch_backend_progress.ps1","patch_backend_progress","C:\Projects\MindLab_Starter_Project\patch_backend_progress.ps1","patch_backend_progress.ps1","patch_backend_progress"
"PATCH_FIX_API_BASEURL_WARNING_FINAL.ps1","PATCH_FIX_API_BASEURL_WARNING_FINAL","C:\Projects\MindLab_Starter_Project\PATCH_FIX_API_BASEURL_WARNING_FINAL.ps1","patch_fix_api_baseurl_warning_final.ps1","patch_fix_api_baseurl_warning_final"
"PATCH_FIX_API_TS_READENV_V1.ps1","PATCH_FIX_API_TS_READENV_V1","C:\Projects\MindLab_Starter_Project\PATCH_FIX_API_TS_READENV_V1.ps1","patch_fix_api_ts_readenv_v1.ps1","patch_fix_api_ts_readenv_v1"
"PATCH_FIX_API_TS_WARNING_AND_FALLBACK.ps1","PATCH_FIX_API_TS_WARNING_AND_FALLBACK","C:\Projects\MindLab_Starter_Project\PATCH_FIX_API_TS_WARNING_AND_FALLBACK.ps1","patch_fix_api_ts_warning_and_fallback.ps1","patch_fix_api_ts_warning_and_fallback"
"PATCH_FIX_API_TS_WARNING_V3.ps1","PATCH_FIX_API_TS_WARNING_V3","C:\Projects\MindLab_Starter_Project\PATCH_FIX_API_TS_WARNING_V3.ps1","patch_fix_api_ts_warning_v3.ps1","patch_fix_api_ts_warning_v3"
"PATCH_FIX_API_TS_WARNING_V4.ps1","PATCH_FIX_API_TS_WARNING_V4","C:\Projects\MindLab_Starter_Project\PATCH_FIX_API_TS_WARNING_V4.ps1","patch_fix_api_ts_warning_v4.ps1","patch_fix_api_ts_warning_v4"
"PATCH_FRONTEND_DISPLAY_STREAK.ps1","PATCH_FRONTEND_DISPLAY_STREAK","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_DISPLAY_STREAK.ps1","patch_frontend_display_streak.ps1","patch_frontend_display_streak"
"PATCH_FRONTEND_DISPLAY_STREAK_SAFE.ps1","PATCH_FRONTEND_DISPLAY_STREAK_SAFE","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_DISPLAY_STREAK_SAFE.ps1","patch_frontend_display_streak_safe.ps1","patch_frontend_display_streak_safe"
"PATCH_FRONTEND_DISPLAY_STREAK_V2.ps1","PATCH_FRONTEND_DISPLAY_STREAK_V2","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_DISPLAY_STREAK_V2.ps1","patch_frontend_display_streak_v2.ps1","patch_frontend_display_streak_v2"
"PATCH_FRONTEND_DISPLAY_STREAK_V3_SAFE.ps1","PATCH_FRONTEND_DISPLAY_STREAK_V3_SAFE","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_DISPLAY_STREAK_V3_SAFE.ps1","patch_frontend_display_streak_v3_safe.ps1","patch_frontend_display_streak_v3_safe"
"PATCH_FRONTEND_TRACK_C_SEPARATOR_FIX.ps1","PATCH_FRONTEND_TRACK_C_SEPARATOR_FIX","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_TRACK_C_SEPARATOR_FIX.ps1","patch_frontend_track_c_separator_fix.ps1","patch_frontend_track_c_separator_fix"
"PATCH_FRONTEND_TRACK_C_SEPARATOR_FIX_SAFE.ps1","PATCH_FRONTEND_TRACK_C_SEPARATOR_FIX_SAFE","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_TRACK_C_SEPARATOR_FIX_SAFE.ps1","patch_frontend_track_c_separator_fix_safe.ps1","patch_frontend_track_c_separator_fix_safe"
"PATCH_FRONTEND_TRACK_C_SEPARATOR_FIX_SAFE_V2.ps1","PATCH_FRONTEND_TRACK_C_SEPARATOR_FIX_SAFE_V2","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_TRACK_C_SEPARATOR_FIX_SAFE_V2.ps1","patch_frontend_track_c_separator_fix_safe_v2.ps1","patch_frontend_track_c_separator_fix_safe_v2"
"PATCH_FRONTEND_UX_POLISH_TRACK_C.ps1","PATCH_FRONTEND_UX_POLISH_TRACK_C","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_UX_POLISH_TRACK_C.ps1","patch_frontend_ux_polish_track_c.ps1","patch_frontend_ux_polish_track_c"
"PATCH_FRONTEND_UX_POLISH_TRACK_C_SAFE.ps1","PATCH_FRONTEND_UX_POLISH_TRACK_C_SAFE","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_UX_POLISH_TRACK_C_SAFE.ps1","patch_frontend_ux_polish_track_c_safe.ps1","patch_frontend_ux_polish_track_c_safe"
"PATCH_FRONTEND_UX_POLISH_TRACK_C_SAFE_V2.ps1","PATCH_FRONTEND_UX_POLISH_TRACK_C_SAFE_V2","C:\Projects\MindLab_Starter_Project\PATCH_FRONTEND_UX_POLISH_TRACK_C_SAFE_V2.ps1","patch_frontend_ux_polish_track_c_safe_v2.ps1","patch_frontend_ux_polish_track_c_safe_v2"
"PATCH_PHASE1_FORCE_GOOD_backend_src_puzzles_json.ps1","PATCH_PHASE1_FORCE_GOOD_backend_src_puzzles_json","C:\Projects\MindLab_Starter_Project\PATCH_PHASE1_FORCE_GOOD_backend_src_puzzles_json.ps1","patch_phase1_force_good_backend_src_puzzles_json.ps1","patch_phase1_force_good_backend_src_puzzles_json"
"PATCH_PHASE1_POLICYA_quarantine_puzzlesjson_FULL.ps1","PATCH_PHASE1_POLICYA_quarantine_puzzlesjson_FULL","C:\Projects\MindLab_Starter_Project\PATCH_PHASE1_POLICYA_quarantine_puzzlesjson_FULL.ps1","patch_phase1_policya_quarantine_puzzlesjson_full.ps1","patch_phase1_policya_quarantine_puzzlesjson_full"
"PATCH_PHASE1_real_correctness_FULL.ps1","PATCH_PHASE1_real_correctness_FULL","C:\Projects\MindLab_Starter_Project\PATCH_PHASE1_real_correctness_FULL.ps1","patch_phase1_real_correctness_full.ps1","patch_phase1_real_correctness_full"
"PATCH_PHASE1_REBUILD_backend_src_puzzles_json.ps1","PATCH_PHASE1_REBUILD_backend_src_puzzles_json","C:\Projects\MindLab_Starter_Project\PATCH_PHASE1_REBUILD_backend_src_puzzles_json.ps1","patch_phase1_rebuild_backend_src_puzzles_json.ps1","patch_phase1_rebuild_backend_src_puzzles_json"
"PATCH_PHASE1_STRICT_fix_puzzles_json_ALL.ps1","PATCH_PHASE1_STRICT_fix_puzzles_json_ALL","C:\Projects\MindLab_Starter_Project\PATCH_PHASE1_STRICT_fix_puzzles_json_ALL.ps1","patch_phase1_strict_fix_puzzles_json_all.ps1","patch_phase1_strict_fix_puzzles_json_all"
"PATCH_PHASE1_STRICT_fix_puzzles_json_ALL_BOMLESS.ps1","PATCH_PHASE1_STRICT_fix_puzzles_json_ALL_BOMLESS","C:\Projects\MindLab_Starter_Project\PATCH_PHASE1_STRICT_fix_puzzles_json_ALL_BOMLESS.ps1","patch_phase1_strict_fix_puzzles_json_all_bomless.ps1","patch_phase1_strict_fix_puzzles_json_all_bomless"
"PATCH_PHASE1_STRICT_fix_puzzles_json_ALL_v2.ps1","PATCH_PHASE1_STRICT_fix_puzzles_json_ALL_v2","C:\Projects\MindLab_Starter_Project\PATCH_PHASE1_STRICT_fix_puzzles_json_ALL_v2.ps1","patch_phase1_strict_fix_puzzles_json_all_v2.ps1","patch_phase1_strict_fix_puzzles_json_all_v2"
"PATCH_PROGRESS_GET_ADD_FIELDS.ps1","PATCH_PROGRESS_GET_ADD_FIELDS","C:\Projects\MindLab_Starter_Project\PATCH_PROGRESS_GET_ADD_FIELDS.ps1","patch_progress_get_add_fields.ps1","patch_progress_get_add_fields"
"PATCH_PROGRESS_GET_ADD_FIELDS_V2.ps1","PATCH_PROGRESS_GET_ADD_FIELDS_V2","C:\Projects\MindLab_Starter_Project\PATCH_PROGRESS_GET_ADD_FIELDS_V2.ps1","patch_progress_get_add_fields_v2.ps1","patch_progress_get_add_fields_v2"
"PATCH_PROGRESS_GET_ADD_STREAK.ps1","PATCH_PROGRESS_GET_ADD_STREAK","C:\Projects\MindLab_Starter_Project\PATCH_PROGRESS_GET_ADD_STREAK.ps1","patch_progress_get_add_streak.ps1","patch_progress_get_add_streak"
"PATCH_PROGRESS_GET_ADD_STREAK_SAFE_V3.ps1","PATCH_PROGRESS_GET_ADD_STREAK_SAFE_V3","C:\Projects\MindLab_Starter_Project\PATCH_PROGRESS_GET_ADD_STREAK_SAFE_V3.ps1","patch_progress_get_add_streak_safe_v3.ps1","patch_progress_get_add_streak_safe_v3"
"PATCH_REMOVE_SolvedIds_PERSISTENCE.ps1","PATCH_REMOVE_SolvedIds_PERSISTENCE","C:\Projects\MindLab_Starter_Project\PATCH_REMOVE_SolvedIds_PERSISTENCE.ps1","patch_remove_solvedids_persistence.ps1","patch_remove_solvedids_persistence"
"PATCH_STEP10_Daily_Text_Cleanup.ps1","PATCH_STEP10_Daily_Text_Cleanup","C:\Projects\MindLab_Starter_Project\PATCH_STEP10_Daily_Text_Cleanup.ps1","patch_step10_daily_text_cleanup.ps1","patch_step10_daily_text_cleanup"
"PATCH_STEP10_Daily_Text_Cleanup_V3.ps1","PATCH_STEP10_Daily_Text_Cleanup_V3","C:\Projects\MindLab_Starter_Project\PATCH_STEP10_Daily_Text_Cleanup_V3.ps1","patch_step10_daily_text_cleanup_v3.ps1","patch_step10_daily_text_cleanup_v3"
"PATCH_STEP11_Set_VITE_API_BASE_URL.ps1","PATCH_STEP11_Set_VITE_API_BASE_URL","C:\Projects\MindLab_Starter_Project\PATCH_STEP11_Set_VITE_API_BASE_URL.ps1","patch_step11_set_vite_api_base_url.ps1","patch_step11_set_vite_api_base_url"
"PATCH_STEP7_FrontendFixes.ps1","PATCH_STEP7_FrontendFixes","C:\Projects\MindLab_Starter_Project\PATCH_STEP7_FrontendFixes.ps1","patch_step7_frontendfixes.ps1","patch_step7_frontendfixes"
"PATCH_STEP9_Add_Daily_Refresh_Button.ps1","PATCH_STEP9_Add_Daily_Refresh_Button","C:\Projects\MindLab_Starter_Project\PATCH_STEP9_Add_Daily_Refresh_Button.ps1","patch_step9_add_daily_refresh_button.ps1","patch_step9_add_daily_refresh_button"
"PATCH_STEP9_FIX_Daily_RefreshProgress_Button.ps1","PATCH_STEP9_FIX_Daily_RefreshProgress_Button","C:\Projects\MindLab_Starter_Project\PATCH_STEP9_FIX_Daily_RefreshProgress_Button.ps1","patch_step9_fix_daily_refreshprogress_button.ps1","patch_step9_fix_daily_refreshprogress_button"
"PHASE2_STEP1_stability_gate_FULL.ps1","PHASE2_STEP1_stability_gate_FULL","C:\Projects\MindLab_Starter_Project\PHASE2_STEP1_stability_gate_FULL.ps1","phase2_step1_stability_gate_full.ps1","phase2_step1_stability_gate_full"
