"FilePath","ItemKey","FieldName","CurrentValue","ApprovedNewValue","ApprovalSource","ApprovedBy","ApprovedDate"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","OwnerEmail","","projectowner@mindlab.local","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","OwnerName","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","ProposedTarget","","SeniorsGameplayReady","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","QaReviewer","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","RewriteRequired","","No","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","Seniors","SignoffCheckpoint","","Approved","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","Approver","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","Approver","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ApproverEmail","","projectowner@mindlab.local","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ApproverEmail","","projectowner@mindlab.local","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ApproverName","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ApproverName","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","DependencyReviewer","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","DependencyReviewer","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","Item","TBD","NeedsDefinition","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","Item","TBD","NeedsDefinition","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","MappingApproved","","No","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","MappingApproved","","No","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","OwnerEmail","","projectowner@mindlab.local","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","OwnerEmail","","projectowner@mindlab.local","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","OwnerName","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","OwnerName","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ProposedTarget","","PendingCategoryDecision","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","ProposedTarget","","PendingCategoryDecision","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","QaReviewer","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","QaReviewer","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","RewriteRequired","","Yes","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","RewriteRequired","","Yes","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","SignoffCheckpoint","","Draft","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","TBD","SignoffCheckpoint","","Draft","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","Approver","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","ApproverEmail","","projectowner@mindlab.local","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","ApproverName","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","DependencyReviewer","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","MappingApproved","","Yes","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","OwnerEmail","","projectowner@mindlab.local","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","OwnerName","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","ProposedTarget","","Wave2Bundle01Ready","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","QaReviewer","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","RewriteRequired","","No","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B01","SignoffCheckpoint","","ReviewReady","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","Approver","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","ApproverEmail","","projectowner@mindlab.local","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","ApproverName","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","DependencyReviewer","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","MappingApproved","","Yes","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","OwnerEmail","","projectowner@mindlab.local","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","OwnerName","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","ProposedTarget","","Wave2Bundle02Ready","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","QaReviewer","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","RewriteRequired","","No","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B02","SignoffCheckpoint","","ReviewReady","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","Approver","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","ApproverEmail","","projectowner@mindlab.local","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","ApproverName","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","DependencyReviewer","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","MappingApproved","","Yes","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","OwnerEmail","","projectowner@mindlab.local","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","OwnerName","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","ProposedTarget","","Wave2Bundle03Ready","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","QaReviewer","","ProjectOwner","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","RewriteRequired","","No","GameDecisionSource","ProjectOwner","2026-04-20"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv","W2-B03","SignoffCheckpoint","","ReviewReady","GameDecisionSource","ProjectOwner","2026-04-20"
