"CandidatePath","MatchCount","TargetType","ApplyStatus"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K2-B01_evidence.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC02-K1-B01_evidence.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC02-K2-B01_evidence.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC04-K1-B01_evidence.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC04-K2-B01_evidence.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC05-K1-B01_evidence.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC05-K2-B01_evidence.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_pilot_evidence_index.csv","8","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_progression_qa_matrix.csv","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_release_evidence_pack_template.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\closure_2026-04-12\kids_release_blocker_refresh.txt","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\closure_2026-04-12\kids_release_closure_manifest.txt","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\closure_2026-04-12\kids_release_closure_report.txt","2","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\closure_2026-04-12\kids_release_closure_section_status.csv","2","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\evidence_bundle_2026-04-12\kids_release_bundle_manifest.txt","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\evidence_bundle_2026-04-12\kids_release_readiness_inputs.txt","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\adults_dependency_note.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\kids_documentation_bundle_index.md","2","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\kids_release_gate.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\08_wave2\kickoff_2026-04-12\wave2_kickoff_manifest.txt","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\10_cross_age\handoff_2026-04-12\cross_age_handoff_manifest.txt","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\10_cross_age\handoff_2026-04-12\cross_age_handoff_readiness.txt","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\scopes\mindlab_kids_final_review_pack.md","2","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\scopes\mindlab_kids_k4_roadmap.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\scopes\mindlab_kids_k5_roadmap.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\scopes\mindlab_kids_puzzle_keep_by_category.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_apply_execution_order.txt","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_apply_gate_rollup.csv","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\post_seed_validation_2026-04-13\post_seed_artifact_validation_results.csv","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\post_seed_validation_2026-04-13\post_seed_required_artifacts.csv","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\post_seed_validation_2026-04-13\post_seed_validation_manifest.txt","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\tracker_refresh_2026-04-12\tracker_refresh_checklist.txt","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\tracker_refresh_2026-04-12\tracker_refresh_execution_queue.csv","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\tracker_refresh_2026-04-12\tracker_refresh_status_snapshot.txt","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\tracker_refresh_2026-04-12\tracker_refresh_target_map.csv","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\kids_certified_bundle_manifest.csv","6","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\kids_certified_next_execution_queue.md","4","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\kids_certified_pending_counts.csv","2","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\kids_blocker_exception_register.csv","2","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\kids_change_log.md","2","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\kids_document_sync_checklist.csv","6","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\kids_gate_owners.csv","2","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\kids_scope_statement.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\01_governance\README.md","3","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\05_ops_legacy\kids_dependency_log.csv","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\05_ops_legacy\kids_management_rollup.csv","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\05_ops_legacy\kids_review_queue.csv","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K2-B01_evidence.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC02-K1-B01_evidence.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC02-K2-B01_evidence.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC04-K1-B01_evidence.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC04-K2-B01_evidence.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC05-K1-B01_evidence.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC05-K2-B01_evidence.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_pilot_evidence_index.csv","8","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_progression_qa_matrix.csv","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\kids_release_evidence_pack_template.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\closure_2026-04-12\kids_release_blocker_refresh.txt","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\closure_2026-04-12\kids_release_closure_manifest.txt","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\closure_2026-04-12\kids_release_closure_report.txt","2","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\closure_2026-04-12\kids_release_closure_section_status.csv","2","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\evidence_bundle_2026-04-12\kids_release_bundle_manifest.txt","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\evidence_bundle_2026-04-12\kids_release_readiness_inputs.txt","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\adults_dependency_note.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\kids_documentation_bundle_index.md","2","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\07_release\kids_release_gate.md","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\08_wave2\kickoff_2026-04-12\wave2_kickoff_manifest.txt","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\10_cross_age\handoff_2026-04-12\cross_age_handoff_manifest.txt","1","REVIEW","PENDING_REVIEW"
"C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\10_cross_age\handoff_2026-04-12\cross_age_handoff_readiness.txt","1","REVIEW","PENDING_REVIEW"
