"RelativePath","Extension","SizeBytes","Priority","RecommendedPatchAction","PassFailRule"
"__BASELINE_FRONTEND_PHASE5_20260104_110518\_legacy_js_backup_20251208\HealthPanel.js",".js","1783","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_110518\_legacy_js_backup_20251208\main.js",".js","649","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_110518\App.tsx",".tsx","1148","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_110518\auth.ts",".ts","218","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_110518\components\DailyCompletionCard.tsx",".tsx","2603","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_110518\components\ErrorBoundary.tsx",".tsx","784","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_110518\components\GamePanel.tsx",".tsx","1289","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_110518\components\HealthPanel.tsx",".tsx","2278","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_110518\components\ProgressPanel.tsx",".tsx","1019","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_110518\daily-challenge\DailyChallengeDetailPage.tsx",".tsx","12624","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_110518\daily-challenge\DailyChallengeHomeCard.tsx",".tsx","2666","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_110518\lib\auth.ts",".ts","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_110518\pages\Daily.tsx",".tsx","2086","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_110518\pages\Progress.tsx",".tsx","1928","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_110518\pages\PuzzlesPlay.tsx",".tsx","4752","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_110518\pages\SolvePuzzle.tsx",".tsx","9952","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_110518\progress\ProgressPage.tsx",".tsx","1942","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\_legacy_js_backup_20251208\auth.js",".js","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\_legacy_js_backup_20251208\dailyChallengeApi.js",".js","1354","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\_legacy_js_backup_20251208\DailyChallengeDetailPage.js",".js","7961","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\_legacy_js_backup_20251208\DailyChallengeHomeCard.js",".js","3280","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\_legacy_js_backup_20251208\ErrorBoundary.js",".js","807","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\_legacy_js_backup_20251208\HealthPanel.js",".js","1783","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\_legacy_js_backup_20251208\main.js",".js","649","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\App.tsx",".tsx","1148","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\auth.ts",".ts","218","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\components\DailyCompletionCard.tsx",".tsx","2603","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\components\ErrorBoundary.tsx",".tsx","784","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\components\GamePanel.tsx",".tsx","1289","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\components\HealthPanel.tsx",".tsx","2278","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\components\ProgressPanel.tsx",".tsx","1019","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\daily-challenge\DailyChallengeDetailPage.tsx",".tsx","12624","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\daily-challenge\DailyChallengeHomeCard.tsx",".tsx","2666","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\lib\auth.ts",".ts","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\pages\Daily.tsx",".tsx","2086","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\pages\Progress.tsx",".tsx","1928","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\pages\PuzzlesPlay.tsx",".tsx","4752","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\pages\SolvePuzzle.tsx",".tsx","9952","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5_20260104_113049\progress\ProgressPage.tsx",".tsx","1942","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\_legacy_js_backup_20251208\auth.js",".js","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\_legacy_js_backup_20251208\dailyChallengeApi.js",".js","1354","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\_legacy_js_backup_20251208\DailyChallengeDetailPage.js",".js","7961","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\_legacy_js_backup_20251208\DailyChallengeHomeCard.js",".js","3280","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\_legacy_js_backup_20251208\ErrorBoundary.js",".js","807","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\_legacy_js_backup_20251208\HealthPanel.js",".js","1783","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\_legacy_js_backup_20251208\main.js",".js","649","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\App.tsx",".tsx","1148","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\auth.ts",".ts","218","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\components\DailyCompletionCard.tsx",".tsx","2603","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\components\ErrorBoundary.tsx",".tsx","784","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\components\GamePanel.tsx",".tsx","1289","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\components\HealthPanel.tsx",".tsx","2278","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\components\ProgressPanel.tsx",".tsx","1019","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\daily-challenge\DailyChallengeDetailPage.tsx",".tsx","12624","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\daily-challenge\DailyChallengeHomeCard.tsx",".tsx","2666","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\lib\auth.ts",".ts","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\pages\Daily.tsx",".tsx","2086","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\pages\Progress.tsx",".tsx","1928","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\pages\PuzzlesPlay.tsx",".tsx","4752","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\pages\SolvePuzzle.tsx",".tsx","9952","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5B5C_20260104_120421\progress\ProgressPage.tsx",".tsx","1942","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\_legacy_js_backup_20251208\auth.js",".js","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\_legacy_js_backup_20251208\dailyChallengeApi.js",".js","1354","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\_legacy_js_backup_20251208\DailyChallengeDetailPage.js",".js","7961","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\_legacy_js_backup_20251208\DailyChallengeHomeCard.js",".js","3280","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\_legacy_js_backup_20251208\ErrorBoundary.js",".js","807","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\_legacy_js_backup_20251208\HealthPanel.js",".js","1783","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\_legacy_js_backup_20251208\main.js",".js","649","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\App.tsx",".tsx","1148","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\auth.ts",".ts","218","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\components\DailyCompletionCard.tsx",".tsx","2603","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\components\ErrorBoundary.tsx",".tsx","784","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\components\GamePanel.tsx",".tsx","1289","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\components\HealthPanel.tsx",".tsx","2278","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\components\ProgressPanel.tsx",".tsx","1019","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\daily-challenge\DailyChallengeDetailPage.tsx",".tsx","12624","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\daily-challenge\DailyChallengeHomeCard.tsx",".tsx","2666","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\lib\auth.ts",".ts","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\pages\Daily.tsx",".tsx","2086","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\pages\Progress.tsx",".tsx","1928","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\pages\PuzzlesPlay.tsx",".tsx","4752","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\pages\SolvePuzzle.tsx",".tsx","10112","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__BASELINE_FRONTEND_PHASE5D_20260105_184300\progress\ProgressPage.tsx",".tsx","1942","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_BACKEND_PHASE5D_20260106_184626\daily-challenge\dailyChallengeEngine.ts",".ts","3464","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_BACKEND_PHASE5D_20260106_184626\daily-challenge\dailyChallengeRoutes.ts",".ts","5027","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_BACKEND_PHASE5D_20260106_184626\uxhelpers.js",".js","391","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\_legacy_js_backup_20251208\auth.js",".js","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\_legacy_js_backup_20251208\dailyChallengeApi.js",".js","1354","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\_legacy_js_backup_20251208\DailyChallengeDetailPage.js",".js","7961","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\_legacy_js_backup_20251208\DailyChallengeHomeCard.js",".js","3280","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\_legacy_js_backup_20251208\ErrorBoundary.js",".js","807","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\_legacy_js_backup_20251208\HealthPanel.js",".js","1783","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\_legacy_js_backup_20251208\main.js",".js","649","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\App.tsx",".tsx","1148","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\auth.ts",".ts","218","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\components\DailyCompletionCard.tsx",".tsx","2603","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\components\ErrorBoundary.tsx",".tsx","784","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\components\GamePanel.tsx",".tsx","1289","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\components\HealthPanel.tsx",".tsx","2278","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\components\ProgressPanel.tsx",".tsx","1019","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\daily-challenge\DailyChallengeDetailPage.tsx",".tsx","12624","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\daily-challenge\DailyChallengeHomeCard.tsx",".tsx","2666","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\lib\auth.ts",".ts","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\pages\Daily.tsx",".tsx","2086","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\pages\Progress.tsx",".tsx","1928","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\pages\PuzzlesPlay.tsx",".tsx","4752","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\pages\SolvePuzzle.tsx",".tsx","10112","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"__FREEZE_FRONTEND_PHASE5D_20260106_184626\progress\ProgressPage.tsx",".tsx","1942","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_BACKEND_20260103_102610\daily-challenge\dailyChallengeEngine.ts",".ts","3464","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_BACKEND_20260103_102610\daily-challenge\dailyChallengeRoutes.ts",".ts","5027","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_BACKEND_20260103_102610\uxhelpers.js",".js","391","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_BACKEND_PHASE2_20260103_131246\daily-challenge\dailyChallengeEngine.ts",".ts","3464","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_BACKEND_PHASE2_20260103_131246\daily-challenge\dailyChallengeRoutes.ts",".ts","5027","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
